animeTitle	Nyuru Nyuru!! Kakusen-kun
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12441
animeDescription	"The anime revolves around little creatures called ""Kakusen"" who live in the skin pores of humans.

(Source: ANN)"
animeRelated	['Nyuru Nyuru!! Kakusen-kun 2nd Season']
animeCharacters	['Nyuruo', 'Kakusenpai', 'Nyuna', 'Kakusensei']
animeVoices	['Itou, Yuuto', 'Tomatsu, Haruka', 'Fukuyama, Jun']
animeStaff	[]
