animeTitle	Submarine Super 99
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	410
animeRank	
animePopularity	9940
animeDescription	"Dr. Oki , the genius scientist who designed a new type of submarine is missing. His son, Susumu, smells an evil scheme of unknown group. He knows everything of his father's submarine called ""Super 99"" – equipment, weapons, functions and capacity. Susumu thinks that to find his father is to reveal the secret organization, Helmet Party, and stop their conspiracy. With the help of his friends and Marine Corps, he sets out to an underwater quest, not knowing how dangerous his endeavour is…

(Source: ANN)"
animeRelated	['Submarine Super 99']
animeCharacters	['Oki, Susumu', 'Ze Strait', 'Ze Stroger', 'Deathbird, Hell', 'Ze Stronestro', 'Oki, Gorou', 'Oki, Juuzou', 'Ze Stron', 'Moriki, Miyuki ', 'Ooyama, Kizuku']
animeVoices	['Fukuyama, Jun', 'Inoue, Kikuko', 'Yukino, Satsuki', 'Sawaki, Ikuya', 'Narita, Ken', 'Mizushima, Yuu', 'Chou, Katsumi', 'Naruse, Makoto', 'Horie, Mitsuko', 'Morikawa, Toshiyuki']
animeStaff	[['Matano, Hiromichi', 'Director, Episode Director, Storyboard'], ['Teramoto, Yukiyo', 'Episode Director, Storyboard'], ['Fujikawa, Keisuke', 'Script, Screenplay, Series Composition'], ['Matsumoto, Leiji', 'Original Creator']]
