animeTitle	Mobile Suit Zeta Gundam: A New Translation II - Lovers
animeType	Movie
animeNumEpisode	1
releaseDate	2005-10-29 00:00:00
endDate	
animeNumMembers	
animeScore	7.01
animeUsers	4683
animeRank	
animePopularity	5322
animeDescription	"Second out of three compilation movies for the Zeta Gundam series.

(Source: AniDB)"
animeRelated	['Mobile Suit Zeta Gundam', 'Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars', 'Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars']
animeCharacters	['Aznable, Char', 'Bidan, Kamille', 'Murasame, Four', 'Ray, Amuro', 'Karn, Haman', 'Noa, Bright', 'Sheen, Emma', 'Yuiry, Fa', 'Scirocco, Paptimus', 'Gable, Yazan']
animeVoices	['Ikeda, Shuuichi', 'Tobita, Nobuo', 'Yukana', 'Furuya, Toru', 'Sakakibara, Yoshiko', 'Suzuoki, Hirotaka', 'Okamoto, Maya', 'Arai, Satomi', 'Shimada, Bin', 'Ootsuka, Houchuu']
animeStaff	[['Yatate, Hajime', 'Producer, Original Creator'], ['Tomino, Yoshiyuki', 'Director, Script, Storyboard, Original Creator'], ['GACKT', 'Theme Song Performance'], ['Natsume, Shingo', 'Key Animation']]
