animeTitle	30-sai no Hoken Taiiku
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	23408
animeRank	
animePopularity	2325
animeDescription	"Based on Mitsuba and Ichijinsha's 30-sai no Hoken Taiiku (Health and Physical Education for 30-Year-Olds) guidebook. The guide is aimed at men in their 30s who have not experienced romance or sex with women yet.

Imagawa Hayao is a 30-year-old virgin bachelor. One day, a cupid descends from heaven with the express purpose of forcing him to graduate from virginity. Thus unfolds a pure love story between a 30-year-old bachelor and a 30-year-old bachelorette.

(Source: AniDB)"
animeRelated	['30-sai no Hoken Taiiku Specials']
animeCharacters	['Andou, Natsu', 'Imagawa, Hayao', 'Macaron', 'Daigorou', 'Pii-chan', 'Kuu-chan', 'Hoshi, Ginga', 'Dorm Supervisor', 'Mo', 'Wada-san']
animeVoices	['Nazuka, Kaori', 'Shimono, Hiro', 'Watanabe, Yui', 'Okiayu, Ryoutarou', 'Kitamura, Eri', 'Kushida, Yasumichi', 'Sakamoto, Raikou', 'Akutsu, Kana', 'Nabatame, Hitomi']
animeStaff	[['Mankyuu', 'Director'], ['Yamada, Haru', 'Sound Director'], ['Kasugamori, Haruki', 'Episode Director, Storyboard'], ['Takata, Masahiro', 'Episode Director, Storyboard, Assistant Director']]
