animeTitle	Sore Ike! Anpanman: Otanjoubi Series
animeType	OVA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15742
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Anpanman']
animeVoices	['Toda, Keiko']
animeStaff	[['Ooga, Shunji', 'Director'], ['Toda, Keiko', 'Theme Song Performance'], ['Maeda, Minoru', 'Chief Animation Director'], ['Yanase, Takashi', 'Original Creator']]
