animeTitle	Blue Seed
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	8952
animeRank	
animePopularity	3539
animeDescription	"Momiji is an average girl until the day she finds she is the descendant of the great Kushinada family. Only she, with her Kushinada blood, can stop the Aragami, demonic plant-like monsters threatening to destroy Japan. Along to help her is the TAC, and a possible love interest in a young man named Kusanagi.

(Source: ANN)
"
animeRelated	['Aokushimitama Blue Seed', 'Blue Seed 2', 'Blue Seed Omake', 'Blue Seed 1.5']
animeCharacters	['Kusanagi, Mamoru', 'Fujimiya, Momiji', 'Sawaguchi, Koume', 'Takeuchi, Ryoko', 'Kunikida, Daitetsu', 'Matsudaira, Azusa', 'Yaegashi, Yoshiki', 'Yamazaki, Sakura', 'Kanbayashi, Reiko', 'Fujimiya, Moe']
animeVoices	['Inoue, Kazuhiko', 'Hayashibara, Megumi', 'Mitsuishi, Kotono', 'Orikasa, Ai', 'Ootsuka, Akio', 'Sakakibara, Yoshiko', 'Ueda, Yuuji', 'Tamagawa, Sakiko', 'Kingetsu, Mami']
animeStaff	[['Kobayashi, Noriko', 'Producer'], ['Greenfield, Matt', 'Producer, ADR Director'], ['Kamiya, Jun', 'Director, Episode Director, Storyboard'], ['Wakabayashi, Kazuhiro', 'Sound Director']]
