animeTitle	Mizu no Kotoba
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	12932
animeRank	
animePopularity	3772
animeDescription	"Several people are spending their evening in a cafe. Two gossiping girls, two debating men, a bookworm and a boy, who just broke up with his girlfriend. The cafe's waitress starts a chat with him, persuading him to take a look at certain easel, while other customers begin to notice unusual things.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Waitress', 'Dame Otoko', 'Cool', 'Big', 'Hong', 'Dumpling', 'Oshaberi']
animeVoices	['Yoshiura, Yasuhiro']
animeStaff	[['Yoshiura, Yasuhiro', 'Director']]
