animeTitle	b'Seitokaichou Hikaru'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	1691
animeRank	
animePopularity	
animeDescription	"b""There is a school where students learn how to hunt monsters. Yuki, Seira and Hikaru finally defeat Varmus, a monster. But their battle doesn't end yet.... A new enemy revives Varmus and Kotone, their teacher, is kidnapped by him. Following it, heroines are kidnapped one by one. His purpose is actually to make them give birth to monster babies....\n\n(Source: ErogeShop)"""
animeRelated	[]
animeCharacters	[b'Izumi, Hikaru', b'Ayatsuji, Yuki', b'Kamui, Seira', b'Shiraishi, Kotone']
animeVoices	[b'\nShiomi, Rin\nJapanese\n', b'\nUchino, Pochi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSawayama, Shinichiro\n\nScript, Screenplay\n\n', b'\nKimura, Takeshi\n\nKey Animation\n\n', b'\nNagai, Shinpei\n\nKey Animation\n\n']
