animeTitle	Sengoku Musou: Sengoku Musou High School
animeType	Special
animeNumEpisode	8
releaseDate	2015-05-20 00:00:00
endDate	2015-08-19 00:00:00
animeNumMembers	
animeScore	6.1
animeUsers	295
animeRank	
animePopularity	10230
animeDescription	Unaired Sengoku Musou High School segments bundled with the third through sixth Blu-ray volumes of Sengoku Musou.
animeRelated	['Sengoku Musou']
animeCharacters	['Sanada, Yukimura', 'Sanada, Nobuyuki', 'Ishida, Mitsunari', 'Date, Masamune', 'Katou, Kiyomasa', 'Gracia', 'Ii, Naotora', 'Katakura, Kojuurou', 'Naoe, Kanetsugu', 'Fukushima, Masanori']
animeVoices	['Kusao, Takeshi', 'Ono, Daisuke', 'Takemoto, Eiji', 'Sugita, Tomokazu', 'Shikano, Jun', 'Saitou, Yuka', 'Takatsuka, Masaya', 'Fujimoto, Takahiro']
animeStaff	[]
