animeTitle	Hitou Meguri Kakure Yu
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	2367
animeRank	
animePopularity	6046
animeDescription	"Mikio returns to his hometown for the first time in half a year. The first thing he sees is the traditional Japanese onsen inn managed by Yukino Chitose, childhood friend and one-time lover.

Despite the passing of half a year, Chitose still possessed a girlish appearance. However, the traditional clothes that she wears brings out a mature and beautiful feel about her.

That night, upon conclusion of his business, he goes in search of Chitose. Hearing her voice, he follows it and comes to an outdoor bath. Peeking through a gap in the bamboo fence, he is stunned to see her with another man...

(Source: translated and adapted from official site by Cranston)"
animeRelated	['Hitou Meguri The Animation: Wakaokami, Rachiru', 'Hitou Meguri Kakure Yu: Mao-hen']
animeCharacters	['Yukino, Chitose', 'Yunose, Mikio', 'Kenzou', 'Kimihoshi, Mao']
animeVoices	['Kawaragi, Shiho']
animeStaff	[['Momoi, Sakura', 'Producer'], ['Takahashi, Kaoru', 'Script, Storyboard']]
