animeTitle	Azuki-chan
animeType	TV
animeNumEpisode	117
releaseDate	1995-04-04 00:00:00
endDate	1998-03-17 00:00:00
animeNumMembers	2515
animeScore	6.74
animeUsers	817
animeRank	4880
animePopularity	8844
animeDescription	"Azusa Noyama is a 12-year-old girl student, taking 5th grade, but everyone knows her as Azuki-Chan, nickname that she dislikes. Yuunosuke Ogasawara, a new student, asks her about her nickname, saying that he likes it. Azuki falls in love with him, and they start going out together. They share a diary, and become boyfriend and girlfriend.

(Source: ANN)"
animeRelated	['Azuki-chan', 'Azuki-chan the Movie']
animeCharacters	['Ogasawara, Yuunosuke', 'Kodama, Midori', 'Noyama, Azusa', 'Nishino, Kaoru', 'Takayanagi, Ken', 'Takahashi, Tomomi', 'Noyama, Daizu', 'Kodama, Aoi', 'Sakakibara, Youko']
animeVoices	['Miyazaki, Issei', 'Matsumoto, Rica', 'Yukana', 'Kawata, Taeko', 'Madono, Mitsuaki', 'Suzuki, Akiko', 'Kozakura, Etsuko', 'Odagi, Mie', 'Sakuma, Rei']
animeStaff	[['Kojima, Masayuki', 'Director, Storyboard'], ['Rintaro', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Sakurai, Hiroaki', 'Episode Director, Storyboard, Animation Director']]
