animeTitle	Ninja Hattori-kun
animeType	TV
animeNumEpisode	694
releaseDate	1981-09-28 00:00:00
endDate	1987-12-25 00:00:00
animeNumMembers	8625
animeScore	6.85
animeUsers	4694
animeRank	4385
animePopularity	5633
animeDescription	"The everyday Sanyo family gets an unexpected surprise in the shape of a new lodger-Hattori is a ninja boy who has come down from the Iga mountains to attend normal school. Befriending Kenichi Sanyo, who is the same age as he, Hattori starts attending school undercover, occasionally accompanied by his brother, Shinzo, Shishimaru the ninja dog, and Kenichi's girlfriend, Yumeko. The gang is also threatened by the rival Koga ninja, Kemumaki, and his evil sidekick, Kagechiyo the Shadow-cat. 

(Source: The Anime Encyclopedia)"
animeRelated	['Ninja Hattori-kun', 'Ninja Hattori-kun (2012)', 'Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki', 'Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki', 'Ninja Hattori-kun Plus Perman: Ninja Kaijuu Jippou tai Miracle Tamago', 'Ninja Hattori-kun Plus Perman: Chounouryoku Wars']
animeCharacters	['Hattori, Kanzou', 'Kemumaki, Kemuzou', 'Hattori, Shinzou', 'Mitsuba, Kenichi', 'Kawai, Yumeko', 'Tsubame']
animeVoices	['Hori, Junko', 'Kimotsuki, Kaneta', 'Mita, Yuuko', 'Sugaya, Masako', 'Akiyama, Runa']
animeStaff	"[['Sasagawa, Hiroshi', 'Director'], ['Okada, Kenjirou', 'Episode Director'], ['Sakurai, Masaaki', 'Script'], [""Koorogi '73"", 'Theme Song Performance, Inserted Song Performance']]"
