animeTitle	b'Kawauso Labo'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Ottimo', b'Master', b'Emma', b'Teo', b'Doranka', b'Corona', b'Grandy Jr.']
animeVoices	[b'\nYamaya, Yoshitaka\nJapanese\n', b'\nHamazoe, Shinya\nJapanese\n', b'\nTokudome, Shinnosuke\nJapanese\n', b'\nYashiro, Taku\nJapanese\n', b'\nYamamoto, Shouta\nJapanese\n', b'\nKino, Hina\nJapanese\n', b'\nYamashita, Daiki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNamiki, Hiroshi\n\nDirector, Script\n\n', b'\nTakamura, Suzuna\n\nScript, Character Design\n\n']
