animeTitle	b'Dead Leaves'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	36002
animeRank	
animePopularity	
animeDescription	b'Pandy and Retro awaken naked on Earth with no recollection of their past. They embark on a devastating crime spree in search of food, clothing and transportation, but are captured by authorities and sent to the infamous lunar penitentiary named Dead Leaves. While incarcerated, they quickly discover that Dead Leaves is also a top-secret cloning facility, occupied by villainous guards and deformed genetic experiments. Ultra-manic chaos and hyper-violent bedlam ensue as they organize a prison break with the aid of their fellow mutant inmates. '
animeRelated	[]
animeCharacters	[b'Retro', b'Pandy', b'Drill, Chinko', b'666', b'Dr. Yabu', b'777']
animeVoices	[b'\nYamaguchi, Kappei\nJapanese\n', b'\nHonda, Takako\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nIwata, Mitsuo\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKuroki, Rui\n\nProducer\n\n', b'\nMorishita, Katsuji\n\nProducer\n\n', b'\nImaishi, Hiroyuki\n\nDirector, Animation Director, Character Design, Key Animation\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n']
