animeTitle	b'Ragnastrike Angels'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	4.33
animeUsers	4230
animeRank	
animePopularity	
animeDescription	"b'In the near future, massive hostile beings called ""Fiarem"" are waging war on Earth. To defend the world from this alien threat, Japan unleashes a special team known as ""Ragna Strikers""\xe2\x80\x94six young women wielding advanced weaponry and the ability to grow to gigantic sizes. Ragnastrike Angels follows Ayano Anemori and her friends as they live their daily lives and battle the violent Fiarem.\n\n[Written by MAL Rewrite]'"
animeRelated	[]
animeCharacters	[b'Kanomiya, Izuki', b'Mihime, Moka', b'Toujou, Hinata', b'Midou Barnett, Kasumi', b'Nanami, Nagisa', b'Anemori, Ayano', b'Sonoda, Eleanor', b'Hiiragi, Rio']
animeVoices	[b'\nUchida, Maaya\nJapanese\n', b'\nMinase, Inori\nJapanese\n', b'\nFuchigami, Mai\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nKurosawa, Tomoyo\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nNakahara, Mai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWada, Junichi\n\nDirector\n\n', b'\nHamano, Takatoshi\n\nSound Director\n\n', b'\nKikuchi, Takeshi\n\nScript\n\n', b'\nKurosawa, Tomoyo\n\nTheme Song Performance\n\n']
