animeTitle	Ryokunohara Meikyuu
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.05
animeUsers	1430
animeRank	
animePopularity	7661
animeDescription	"Hiroki and Kanata have been together since they were children. One day Hiroki is caught up in an accident while trying to save a little girl. The next thing he knows, he is looking down on his own body. Seperated from his body, Kanata, and everything else, he tries to figure out just what is going on.

Why is he outside his body which is living on as if nothing has changed, how can he convince Kanata that he is there, and who is the strange girl, Fhalei, who keeps appearing for him?

(Source: AniDB)"
animeRelated	['Hiroki - Harusaki Meiro']
animeCharacters	['Imanishi, Hiroki', 'Tokino, Kanata']
animeVoices	['Seki, Toshihiko', 'Yamaguchi, Kappei']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Kunimoto, Yoshihiro', 'Theme Song Arrangement, Theme Song Composition, Music'], ['Kimura, Maki', 'Theme Song Performance'], ['Iwataki, Satoshi', 'Key Animation']]
