animeTitle	Mori no Ongakukai
animeType	Movie
animeNumEpisode	1
releaseDate	1953-03-01 00:00:00
endDate	
animeNumMembers	366
animeScore	
animeUsers	
animeRank	12152
animePopularity	13837
animeDescription	During a concert in the forest, the big bad wolf begins to annoy the other animals with his foul smoking, noisy interruptions and destruction of the grounds. The other animals band together and eject the wolf for poor manners.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
