animeTitle	Legend of Basara
animeType	TV
animeNumEpisode	13
releaseDate	1998-04-03 00:00:00
endDate	1998-06-26 00:00:00
animeNumMembers	
animeScore	7.3
animeUsers	3328
animeRank	
animePopularity	5151
animeDescription	"In a small village, twins are born: a boy, Tatara, and a girl, Sarasa. The prophet Nagi declares that Tatara is the chosen one who will free Japan from the tyrannical rule of the King and his four sons. But when the ruthless Red King slays Tatara, Sarasa must take on her brother's name and responsibilities and embark on a quest to free Japan and deliver vengeance to the Red King. 

(Source: ANN)"
animeRelated	['Basara', 'Legend of Basara: Shinbashi Theater']
animeCharacters	['Sarasa', 'Shuri', 'Ageha', 'Asagi', 'Shinbashi', 'Ginko', 'Hayato', 'Nagi', 'Kakujii', 'Shidou']
animeVoices	['Kimura, Akiko', 'Inoue, Kazuhiko', 'Shiozawa, Kaneto', 'Sasaki, Nozomu', 'Sonozaki, Mie', 'Yuuki, Hiro', 'Hayami, Show', 'Genda, Tesshou', 'Kosugi, Juurouta']
animeStaff	[['Iwasaki, Yoshiaki', 'Episode Director, Storyboard'], ['Tamano, Harumi', 'Episode Director, Storyboard'], ['Koyama, Takao', 'Script, Series Composition'], ['Tamura, Yumi', 'Original Creator']]
