animeTitle	b'Sakura Internet'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	1280
animeRank	
animePopularity	
animeDescription	"b""Freelancer Touno Kouhei, office lady Hamada Saori, and graphic designer Ginji realize that they're not content in their current jobs, and break free to pursue their dreams - as a musician, a photographer, and an artist, respectively.\n\n(Source: Crunchyroll)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
