animeTitle	b'Tsuki ga Kirei'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.12
animeUsers	200298
animeRank	
animePopularity	
animeDescription	"b""With a new school year comes a new crowd of classmates, and for their final year of junior high, aspiring writer Kotarou Azumi and track team member Akane Mizuno end up in the same class. Though initially complete strangers, a few chance encounters stir an innocent desire within their hearts. A yearning gaze, a fluttering heart\xe2\x80\x94the hallmarks of young love slip into their lives as fate brings their paths to a cross.\n\nHowever, though love is patient and love is kind, Kotarou and Akane discover it is not always straightforward. Despite the comfort they find in each other's company, heartache and anxiety come hand in hand with pursuing the feelings in their hearts. With the uncertainty of how the other truly feels as well as the competing affections of those around them, the road ahead is unclear. Even so, under the shining light of a beautiful full moon, Kotarou gathers his courage to ask Akane a single question, one that forever changes their quiet relationship.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Tsuki ga Kirei: Michinori', b'Tsuki ga Kirei Special']
animeCharacters	[b'Mizuno, Akane', b'Azumi, Kotarou', b'Nishio, Chinatsu', b'Hira, Takumi', b'Yamashina, Roman', b'Imazu, Miu', b'Mizuno, Ayane', b'Tachibana, Daisuke', b'Takizawa, Aoi', b'Azumi, Junko']
animeVoices	[b'\nKohara, Konomi\nJapanese\n', b'\nChiba, Shouya\nJapanese\n', b'\nMurakawa, Rie\nJapanese\n', b'\nTamaru, Atsushi\nJapanese\n', b'\nFudemura, Eishin\nJapanese\n', b'\nChisuga, Haruka\nJapanese\n', b'\nMaekawa, Ryouko\nJapanese\n', b'\nIwanaka, Mutsuki\nJapanese\n', b'\nShiraishi, Haruka\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKishi, Seiji\n\nDirector\n\n', b'\nIida, Satoki\n\nSound Director\n\n', b'\nTakada, Masatoyo\n\nEpisode Director\n\n', b'\nKakihara, Yuuko\n\nScript, Series Composition\n\n']
