animeTitle	Deva Zan
animeType	Special
animeNumEpisode	1
releaseDate	2010-12-21 00:00:00
endDate	
animeNumMembers	1956
animeScore	4.94
animeUsers	329
animeRank	11529
animePopularity	9492
animeDescription	"The Divine Warriors were defeated by the Darkness and vanished far into the space-time. 

In the world in chaos, a samurai ZAN realizes his mission and travels beyond the space-time to gather the scattered warriors. 

In order to beat the corps of the Darkness, ZAN tries to acquire the Dark Power...

Note: While a minute long trailer was released, the feature length film was never produced."
animeRelated	[]
animeCharacters	['Zan']
animeVoices	[]
animeStaff	[]
