animeTitle	Amagami SS+ Plus: Extra Episode+ Plus
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	16241
animeRank	
animePopularity	3167
animeDescription	Short extras of the anime included in each of the six Blu-ray volumes of Amagami SS+. 
animeRelated	['Amagami SS+ Plus']
animeCharacters	['Morishima, Haruka', 'Ayatsuji, Tsukasa', 'Nanasaki, Ai', 'Tanamachi, Kaoru', 'Nakata, Sae', 'Sakurai, Rihoko', 'Tachibana, Junichi', 'Narrator']
animeVoices	['Itou, Shizuka', 'Nazuka, Kaori', 'Yukana', 'Satou, Rina', 'Konno, Hiromi', 'Shintani, Ryouko', 'Maeno, Tomoaki', 'Nakata, Jouji']
animeStaff	[['Enterbrain', 'Original Creator'], ['Takayama, Kisai', 'Original Character Design'], ['Gouda, Hiroaki', 'Character Design']]
