animeTitle	b'Duel Masters VS'
animeType	b'TV'
animeNumEpisode	49
releaseDate	
endDate	
animeNumMembers	
animeScore	5.85
animeUsers	204
animeRank	
animePopularity	
animeDescription	"b""The most anticipated card game, Duel Masters had returned after 2 years since the battle in the past season. However, Katta Kirifuda once the strongest duelist, is now a year 2 middle school student and had lost his passion of dueling throughout the 2 years, and dreams of curry bread every day.\n\nHowever, after an encounter with the baseball ace, Hokaben, a mysterious duelist and a reunion with his childhood friend Lulu Takigawa, he rekindled his dueling spirit and return to his journey of becoming the strongest duelist. With new friends and rivals and Katta's passionate duelist soul, the greatest battle begins! \n\n(Source: Duel Masters Wikia)"""
animeRelated	[b'Duel Masters Victory V3', b'Duel Masters VSR']
animeCharacters	[b'Okabe, Tarou', b'Takigawa, Ruru', b'Kirifuda, Katta', b'Buke, Chatarou', b'Kirifuda, Shoubu', b'Lucifer']
animeVoices	[b'\nSugawara, Masayoshi\nJapanese\n', b'\nTange, Sakura\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nIshino, Ryuuzou\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nMizusawa, Fumie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasaki, Shinobu\n\nDirector\n\n', b'\nFujita, Akiko\n\nSound Director\n\n', b'\nTakamura, Yuuta\n\nEpisode Director\n\n', b'\nItou, Fumio\n\nEpisode Director\n\n']
