animeTitle	Norasco Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17005
animeDescription	"Norasco episodes released only on 3 of the 4 Norasco DVDs.

DVD 1: 
Tanjoubi-hen. A special included meant to promote the 7th Down Town Taito International Comedy Film Festival. This was the 16th and final episode in the disc.

DVD 3: 
Naiken. Where Kotarou helps get his friend get an apartment. This was the 3rd episode on the DVD.
Taxi. Kotarou hangs out with a taxi driver when an old woman gets in. This was the 12th episode on the DVD.

DVD 4: 
Nushi. The boys go fishing. This was the 3rd episode on the DVD.
Hiyashi Chuuka. Kotarou visits a noodle shop. This was the 10th episode on the DVD.
Kendama. The boys play with a kendama. This was the 13th episode on the DVD."
animeRelated	['Norasco', 'Norasco (TV)', 'Norasco (Movie)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
