animeTitle	b'Chivas 1-2-3'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.98
animeUsers	1323
animeRank	
animePopularity	
animeDescription	"b""Ruthless sorcerer Chivas Scotch is hired by a count named Cuttlefish to destroy an evil monster attacking a nearby village. But things go awry when Chivas fails to destroy the monster and he's forced to transfer his spirit in the body of his beautiful servant Gin Fizz. \n\n(Source: ANN)"""
animeRelated	[b'Bakuretsu Hunters']
animeCharacters	[b'Scotch, Shibas', b'Fizz', b'Count Cuttlefish', b'Narrator', b'Icarus', b'Million', b'Genmi', b'Kiss']
animeVoices	[b'\nYao, Kazuki\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nHouki, Katsuhisa\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nTakimoto, Fujiko\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nNishimura, Chinami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nKawasaki, Hiroyuki\n\nScript\n\n', b'\nAbe, Hisashi\n\nAnimation Director, Character Design\n\n', b'\nKatou, Yasutada\n\nArt Director\n\n']
