animeTitle	Inferious Wakusei Senshi Gaiden Condition Green
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.57
animeUsers	140
animeRank	
animePopularity	12605
animeDescription	"Keith, George, Edward, Yang and Shaw are Platoon #801, the five-man team formed to protect their homeworld in the Inferious galaxy from alien invasion. Gazaria's evil emperor Vince conquers the neighbor worlds of Kal and Granad, and suddenly only Platoon #801, also known as Condition Green, stands between him and the conquest of Emerald Earth.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	['Novellum, Yan', 'Yazaki, Shou', 'Winter, Keith', 'Garedean, George', 'Maclegan, Edward', 'Patty', 'Maria', 'Frayley, Paula', 'Emmit, Phil', 'Skarr, Yent']
animeVoices	[]
animeStaff	[['Yamauchi, Shigeyasu', 'Director, Episode Director, Storyboard'], ['Nakamura, Yutaka', 'Key Animation'], ['Ookura, Masahiko', 'Mechanical Design'], ['Mukumoto, Yutaka', 'Key Animation']]
