animeTitle	Anklet to Aoi Umi
animeType	Movie
animeNumEpisode	1
releaseDate	2019-06-06 00:00:00
endDate	
animeNumMembers	123
animeScore	
animeUsers	
animeRank	14816
animePopularity	17516
animeDescription	One day, a girl living on an island drops her precious anklet into the sea. A strange boy emerged from the sea and returned it to her. It is a nostalgic and warm story that depicts the harshness and beauty of the ocean and the small friendship born there through the girl's anklet.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
