animeTitle	Hana no Zundamaru
animeType	ONA
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	115
animeRank	
animePopularity	14020
animeDescription	Based on the Ninja Awate-maru comedy manga by Jirou Tsunoda.
animeRelated	['Pyun Pyun Maru', 'Hana no Zundamaru: Junk']
animeCharacters	['Zundamaru', 'Sayuri', 'Kemeko', 'Kouchou', 'Kashira']
animeVoices	['Mimori, Suzuko', 'Yamamoto, Maria', 'Kamiya, Akira']
animeStaff	[['Daichi, Akitarou', 'Director, Script'], ['Abe, Jun', 'Music'], ['Tsunoda, Jirou', 'Original Creator']]
