animeTitle	Hashi no Mukou
animeType	ONA
animeNumEpisode	1
releaseDate	2012-09-21 00:00:00
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	724
animeRank	
animePopularity	9936
animeDescription	There are old stories of children disappearing by the river's edge. This has haunted Otoha ever since her friend Jiro disappeared  when she was seven years old and now she is back in her hometown covering the war between the government and the dissidents. When she gets separated from the squad, Otoha thinks someone seems to be leading her deeper into the back alleys of the town.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
