animeTitle	b'Ikenai Koto The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	1687
animeRank	
animePopularity	
animeDescription	"b""She's been photographed doing something she shouldn't have... Now she's blackmailed into being a plaything for men. \n\n(Source: AniDB)"""
animeRelated	[b'Ikenai Koto: Kinjirareta Shoujo no Kairaku', b'Ienai Koto The Animation', b'Misuzu: Ikenai Koto']
animeCharacters	[b'Hayakawa, Mina']
animeVoices	[b'\nSanada, Akane\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOoyama, Takashi\n\nDirector\n\n', b'\nKurotsuguchi, Narue\n\nEpisode Director, Script, Storyboard, Screenplay\n\n', b'\nShinkai, Kouki\n\nEditing\n\n', b'\nShibata, Shirou\n\nAnimation Director\n\n']
