animeTitle	Suppon Pon Pon
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17594
animeDescription	"Music video for the song Suppon Pon Pon by Ai Iwasaki that was featured on NHK's Minna no Uta program. ""Suppon"" is the Japanese name for the Chinese softshell turtle (Pelodiscus sinensis). The video features stop motion animation by Aki Kouno."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
