animeTitle	Kujakuou
animeType	OVA
animeNumEpisode	3
releaseDate	1988-04-29 00:00:00
endDate	1991-09-21 00:00:00
animeNumMembers	
animeScore	5.88
animeUsers	626
animeRank	
animePopularity	9075
animeDescription	"A young mystic without a past, Kujaku was born under a dark omen possessed of incredible supernatural powers. Raised by priests, he has learned to use these powers for good. But the evil Siegfried von Mittgard seeks to steal his birthright, and rule the world as the Regent of Darkness. He has dispatched bloodthirsty minions to destroy Kujaku before he can awaken to his destiny. Now, Kujaku must unravel the riddle of his past, before the power within consumes him!

(Source: AniDB)"
animeRelated	['Kujakuou', 'Shin Kujakuou', 'Kujakuou: Sengoku Tensei', '']
animeCharacters	['Tarouja, Onimaru', 'Ashura', 'Kujaku', 'Tsukuyomi', 'Ikeda, Hatsuko', 'Jiku', 'Nikko', 'Organtino', 'Oda, Nobunaga', 'Ko, Kaiho']
animeVoices	['Ishimaru, Hiroya', 'Andou, Arisa', 'Seki, Toshihiko', 'Tominaga, Miina', 'Kawamura, Maria', 'Naya, Gorou', 'Kamiya, Akira', 'Naya, Rokurou', 'Otsuka, Chikao', 'Inoue, Kazuhiko']
animeStaff	[['Rintaro', 'Director'], ['Itano, Ichirou', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Yamada, Etsuji', 'Sound Director']]
