animeTitle	Ro-Kyu-Bu!: Tomoka no Ichigo Sundae
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	8111
animeRank	
animePopularity	4406
animeDescription	"Ro-Kyu-Bu! OVA bundled with the PlayStation Portable game ""Ro-Kyu-Bu!: Himitsu no Otoshimono."""
animeRelated	['Ro-Kyu-Bu!', 'Ro-Kyu-Bu! SS', 'Ro-Kyu-Bu! SS Recap']
animeCharacters	['Minato, Tomoka', 'Hakamada, Hinata', 'Misawa, Maho', 'Kashii, Airi', 'Nagatsuka, Saki', 'Hasegawa, Subaru', 'Takamura, Mihoshi', 'Ogiyama, Aoi', 'Minato, Kaori', 'Hasegawa, Nayu']
animeVoices	['Hanazawa, Kana', 'Ogura, Yui', 'Iguchi, Yuka', 'Hidaka, Rina', 'Hikasa, Youko', 'Kaji, Yuki', 'Itou, Shizuka', 'Uchiyama, Yumi', 'Noto, Mamiko']
animeStaff	[['Kusakawa, Keizou', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Hikasa, Youko', 'Theme Song Performance'], ['Iguchi, Yuka', 'Theme Song Performance']]
