animeTitle	b'Makai Kishi Ingrid'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	4622
animeRank	
animePopularity	
animeDescription	"b""Dark existences were secretly invading Tokyo, the diabolic city. Behind the success of ninjas of justice called Taimanin, the darkness starts the action... Hell knight Ingrid revealed the betrayal of a diabolic doctor, Sabato Kiryuu, who has belonged to a group of darkness, Kanomado. She follows after him who managed to escape from the spot. However, she gets the counterattack from Kiryuu in a certain hideous church and becomes captive. With vengeance, Kiryuu tries to destroy Ingrid's noble soul and decoy her boss, Edwin Black the vampire, into coming to save her. He encourages a group of monsters who have the desire for revenge against Ingrid to disgrace her body...\n\n(Source: DLsite)"""
animeRelated	[b'Taimanin Murasaki: Kunoichi Kairai Dorei ni Otsu', b'Taimanin Asagi', b'Koutetsu no Majo Annerose', b'Taimanin Yukikaze', b'Makai Kishi Ingrid: Re - Mesu Buta Dorei ni Ochita Makai Kishi']
animeCharacters	[b'Ingrid', b'Yatsu, Murasaki', b'Kiryuu, Sabato', b'Black, Edwin']
animeVoices	[b'\nMiwa, Satomi\nJapanese\n', b'\nAoyama, Hana\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUchida, Yorihisa\n\nProducer\n\n', b'\nKaidou, Tsukasa\n\nDirector\n\n', b'\nYoshida, Tomohiro\n\nSound Director\n\n', b'\nYakushi, Ruri\n\nTheme Song Performance\n\n']
