animeTitle	b'Divergence Eve'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.91
animeUsers	3466
animeRank	
animePopularity	
animeDescription	"b""In the 24th Century, Intergalactic Space Travel has become a reality. One of the first outposts in the far reaches of space is WATCHER'S NEST - an inflation hole drive portal - which has recently come under attack by a mysterious force known simply as GHOUL... A group of young female cadets assigned to the portal are unexpectedly thrown into a hornet's nest of trouble as they finalize their training to become an elite pilot in the Seraphim Squadron.\n\n(Source: DVD Collection Back Cover)"""
animeRelated	[b'Divergence Eve 2: Misaki Chronicles']
animeCharacters	[b'Kureha, Misaki', b'Frail, Luxandra', b'Marialate, Kiri', b'Ertiana, Lyar von', b'Snowlight, Prim', b'LeBlanc, Jean Luc', b'Woerns, Wolfgang', b'Kureha, Juzoh', b'Walker, Luke', b'Kotoko-01']
animeVoices	[b'\nKakazu, Yumi\nJapanese\n', b'\nTakagi, Reiko\nJapanese\n', b'\nMizusawa, Fumie\nJapanese\n', b'\nKiuchi, Reiko\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nSawaki, Ikuya\nJapanese\n', b'\nHirata, Hiroaki\nJapanese\n', b'\nOotomo, Ryuuzaburou\nJapanese\n', b'\nMatsuki, Miyu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMacek, Carl\n\nProducer, Script, ADR Director\n\n', b'\nNakamura, Manabu\n\nAssistant Producer\n\n', b'\nNegishi, Hiroshi\n\nDirector\n\n', b'\nAbe, Masashi\n\nEpisode Director\n\n']
