animeTitle	Fullmetal Alchemist: Brotherhood Specials
animeType	Special
animeNumEpisode	4
releaseDate	2009-08-26 00:00:00
endDate	2010-08-25 00:00:00
animeNumMembers	138840
animeScore	8.02
animeUsers	66000
animeRank	526
animePopularity	1258
animeDescription	"Amazing secrets and startling facts are exposed for the first time in the Fullmetal Alchemist: Brotherhood OVA Collection, a new assortment of stories set in never-before-seen corners of the FMA universe. Join Ed and Al as they chase rumors of successful human transmutation into a web of shocking family drama and lies. Sneak a glance at hidden sides of Winry and Hawkeye's personalities. Survive the frigid north with a young Izumi Curtis as she fights to gain a deeper understanding of alchemy. Explore the legendary friendship shared by Mustang and Hughes and watch them grow from military school rivals into hardened brothers transformed by the horrors of the Ishvalan War. You thought you knew the whole story. You thought all the tales were told. The Fullmetal Alchemist: Brotherhood OVA Collection offers proof: You were wrong. 

(Source: FUNimation)"
animeRelated	['Fullmetal Alchemist: Brotherhood']
animeCharacters	['Elric, Edward', 'Mustang, Roy', 'Elric, Alphonse', 'Curtis, Izumi', 'Hughes, Maes', 'Hawkeye, Riza', 'Rockbell, Winry', 'Curtis, Sig', 'Rockbell, Den', 'Rockbell, Pinako']
animeVoices	['Park, Romi', 'Miki, Shinichiro', 'Kugimiya, Rie', 'Tsuda, Shouko', 'Fujiwara, Keiji', 'Orikasa, Fumiko', 'Takamoto, Megumi', 'Sasaki, Seiji', 'Asou, Miyoko']
animeStaff	[['Irie, Yasuhiro', 'Director'], ['Arakawa, Hiromu', 'Original Creator'], ['Senju, Akira', 'Music'], ['McFarland, Mike', 'ADR Director']]
