animeTitle	Shadowverse (TV)
animeType	TV
animeNumEpisode	48
releaseDate	2020-04-07 00:00:00
endDate	2021-03-23 00:00:00
animeNumMembers	11981
animeScore	5.68
animeUsers	1935
animeRank	9823
animePopularity	4954
animeDescription	"The hottest battle is about to begin! While attending Tensei Academy, Hiro Ryugasaki ends up acquiring a mysterious smartphone. It comes installed with the popular card game, Shadowverse! Meeting new rivals, facing major tournaments, forging bonds with friends... Shadowverse leads Hiro to all sorts of new experiences, all that serve to ""evolve"" him.

(Source: Crunchyroll)"
animeRelated	['Shadowverse: Arisa Duelverse', 'Shadowverse', 'Shadowverse Flame', 'Shadowverse (TV) Recaps']
animeCharacters	['Kurobane, Alice', 'Aberaldo, Maura', 'Ryuugasaki, Hiiro', 'Amamiya, Mimori', 'Shindou, Kazuki', 'Yonazuki, Lucia', 'Ijuuin, Kai', 'Yonazuki, Shiori', 'Shindou, Nii', 'Zaizenji, Miyabi']
animeVoices	['Ogura, Yui', 'Iguchi, Yuuichi', 'Kajiwara, Gakuto', 'Hondo, Kaede', 'Taya, Hayato', 'Enoki, Junya', 'Tanezaki, Atsumi', 'Toyota, Moe', 'Hasegawa, Ikumi', 'Matsuzaki, Rei']
animeStaff	[['Kawaguchi, Keiichirou', 'Director'], ['Iida, Satoki', 'Sound Director'], ['FLOW', 'Theme Song Arrangement, Theme Song Performance'], ['Ogura, Yui', 'Theme Song Performance']]
