animeTitle	Qin Xia
animeType	ONA
animeNumEpisode	12
releaseDate	2020-10-16 00:00:00
endDate	2020-12-25 00:00:00
animeNumMembers	1481
animeScore	6.35
animeUsers	335
animeRank	6907
animePopularity	10214
animeDescription	"Across thousands of years, a terracotta warrior comes back to life! With a girl who looks exactly like his sister-in-law, they fight crimes and become heroes to bring back justice!

(Source: WeComics)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
