animeTitle	Koi☆Sento
animeType	OVA
animeNumEpisode	1
releaseDate	2010-11-27 00:00:00
endDate	
animeNumMembers	7471
animeScore	6.38
animeUsers	3803
animeRank	6781
animePopularity	5976
animeDescription	"It's a quick time jump to the 26th century where a school trip to a rebuilt 21st century city turns into a wild adventure for teenaged Shinichi. While chasing a talking deer that steals his bag, he runs into a strange girl trying to elude even stranger pursuers, and then things get really wild. It's a mad dash through a city of the past as two young people discover a chance at a new future.

(Source: The Anime Network)"
animeRelated	[]
animeCharacters	['Toto', 'Shiroi Shika', 'Shinichi', 'Otouto', 'Aniki', 'Shachou']
animeVoices	['Kotobuki, Minako', 'Yamaguchi, Kappei', 'Ono, Kensho', 'Koyasu, Takehito', 'Inada, Tetsu', 'Isobe, Masako']
animeStaff	[['Uchida, Kenji', 'Producer'], ['Morita, Shuuhei', 'Director, Series Composition'], ['Tsuruoka, Youta', 'Sound Director'], ['Kotobuki, Minako', 'Theme Song Performance']]
