animeTitle	Viva Namida
animeType	Music
animeNumEpisode	1
releaseDate	2013-09-22 00:00:00
endDate	
animeNumMembers	4673
animeScore	6.67
animeUsers	2742
animeRank	5237
animePopularity	7201
animeDescription	"Music video for Yasuyuki Okamura's song Viva Namida.

It's also a promo for Space☆Dandy, animated television series produced by BONES. "
animeRelated	['Space☆Dandy']
animeCharacters	['Dandy', 'Meow', 'QT', 'Honey', 'Scarlett', 'Dr. Gel']
animeVoices	[]
animeStaff	[['Yamamoto, Sayo', 'Director'], ['Okamura, Yasuyuki', 'Theme Song Performance']]
