animeTitle	b'MM! Specials'
animeType	b'Special'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	15018
animeRank	
animePopularity	
animeDescription	"b'The six Blu-ray Disc/DVD volumes for the MM! television anime series will each include one or two new, ""somewhat extreme"" anime short stories.'"
animeRelated	[b'MM!']
animeCharacters	[b'Isurugi, Mio', b'Sado, Taro', b'Yuuno, Arashiko', b'Hiiragi, Noa', b'Onigawara, Michiru', b'Sado, Tomoko', b'Himura, Yukinojo', b'Sado, Nanaha', b'Mamiya, Yumi', b'Sado, Shizuka']
animeVoices	[b'\nTaketatsu, Ayana\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n', b'\nTanaka, Rie\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nGibu, Yuko\nJapanese\n', b'\nAsumi, Kana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsuno, Akinari\n\nOriginal Creator\n\n', b'\nQP:flapper\n\nOriginal Character Design\n\n', b'\nTaeko, Hori\n\nCharacter Design\n\n']
