animeTitle	Chijoku no Seifuku
animeType	OVA
animeNumEpisode	2
releaseDate	2016-05-20 00:00:00
endDate	2016-06-17 00:00:00
animeNumMembers	7528
animeScore	6.87
animeUsers	2793
animeRank	
animePopularity	5975
animeDescription	Based on the game by Bishop. 
animeRelated	['Chijoku no Seifuku']
animeCharacters	['Toyomori, Aya', 'Ogawa, Kasumi']
animeVoices	['Takamura, Yuri']
animeStaff	[['Raika, Ken', 'Director'], ['Bishop', 'Original Creator'], ['Mizushima, Oonari', 'Original Character Design']]
