animeTitle	Kinnikuman: Kessen! Shichinin no Choujin tai Uchuu Nobushi
animeType	Special
animeNumEpisode	1
releaseDate	1984-07-04 00:00:00
endDate	
animeNumMembers	858
animeScore	6.3
animeUsers	248
animeRank	7175
animePopularity	11524
animeDescription	"A TV Special first aired in 1984. It covers the Planet Rakka story arc and takes place after the 21st Choujin Olympics Arc. A young boy from Planet Rakka named Beansman asks Kinnikuman and the others to help save his planet from the Space Samurais led by Black King. The story was a parody of The Seven Samurai.

(Source: Kinnikuman Wiki)"
animeRelated	['Kinnikuman']
animeCharacters	['Kinniku, Suguru', 'Robin Mask', 'Ramenman, Victory', 'Warsman', 'Brocken Jr.', 'Terryman', 'Black Sumoman', 'Kinkotsuman', 'Iwao', 'Yosaku']
animeVoices	['Kamiya, Akira', 'Gouri, Daisuke', 'Kanie, Eiji', 'Tanaka, Ryouichi', 'Mizutori, Tetsuo', 'Tanaka, Hideyuki', 'Kitagawa, Yonehiko', 'Futamata, Issei', 'Satou, Masaharu']
animeStaff	[['Tamiya, Takeshi', 'Producer'], ['Yamayoshi, Yasuo', 'Director, Storyboard'], ['Yudetamago', 'Original Creator']]
