animeTitle	Gisoku no Moses
animeType	Music
animeNumEpisode	1
releaseDate	2013-09-15 00:00:00
endDate	
animeNumMembers	
animeScore	6.6
animeUsers	203
animeRank	
animePopularity	14291
animeDescription	"When a ghost girl with no legs spots a pair of disembodied tap shoes dancing to Moses Supposes from Singin' in the Rain, she joins in, gleefully providing a body to accompany their fancy footwork. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
