animeTitle	b'Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	2344
animeRank	
animePopularity	
animeDescription	b'Team Fawn from Gurantseere Academy dreams of one day fighting beside the heroes of Team Rabbit. One day, they finally get their chance as the GDF launches another attack.\n\n(Source: Crunchyroll)'
animeRelated	[b'Ginga Kikoutai Majestic Prince', b'Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi']
animeCharacters	[b'Magalanes, Yui', b'Medikum, Anne', b'Solferino, Chris', b'Yuzuriha, Sei', b'Saionji, Reika', b'Komine', b'Gatou, Simon', b'Sugita']
animeVoices	[b'\nAmamiya, Sora\nJapanese\n', b'\nSuzuki, Aina\nJapanese\n', b'\nYonaga, Tsubasa\nJapanese\n', b'\nSaitou, Souma\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nNakanishi, Toshiharu\nJapanese\n', b'\nTouchi, Hiroki\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHikasa, Youko\n\nTheme Song Performance\n\n', b'\nIguchi, Yuka\n\nTheme Song Performance\n\n', b'\nKon, Natsumi\n\nTheme Song Performance\n\n']
