animeTitle	Arata Kangatari Picture Drama
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	469
animeRank	
animePopularity	9135
animeDescription	Short specials added to DVDs and Blu-rays.
animeRelated	['Arata Kangatari']
animeCharacters	['Hinohara, Arata', 'Kannagi', 'Kotoha', 'Arata', 'Kanate', 'Kadowaki, Masato', 'Kugura', 'Akachi', 'Yataka', 'Harunawa']
animeVoices	['Okamoto, Nobuhiko', 'Ono, Yuuki', 'Takagaki, Ayahi', 'Matsuoka, Yoshitsugu', 'Minagawa, Junko', 'Kimura, Ryouhei', 'Suzuki, Tatsuhisa', 'Miyano, Mamoru']
animeStaff	[]
