animeTitle	b'Nichijou: Nichijou no 0-wa'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.4
animeUsers	39642
animeRank	
animePopularity	
animeDescription	"b""While the title suggests a story of simple, everyday school life, the contents are more the opposite. The setting is a strange school where you may see the principal wrestle a deer or a robot's arm hide a rollcake. However there are still normal stories, like making a card castle or taking a test you didn't study for."""
animeRelated	[b'Nichijou']
animeCharacters	[b'Aioi, Yuuko', b'Sakamoto', b'Shinonome, Hakase', b'Naganohara, Mio', b'Shinonome, Nano', b'Minakami, Mai']
animeVoices	[b'\nHonda, Mariko\nJapanese\n', b'\nShiraishi, Minoru\nJapanese\n', b'\nKonno, Hiromi\nJapanese\n', b'\nAizawa, Mai\nJapanese\n', b'\nFuruya, Shizuka\nJapanese\n', b'\nTogashi, Misuzu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHatta, Hideaki\n\nProducer\n\n', b'\nSenami, Riri\n\nAssistant Producer\n\n', b'\nIshihara, Tatsuya\n\nDirector, Storyboard\n\n', b'\nSakamoto, Kazuya\n\nEpisode Director\n\n']
