animeTitle	Starmyu
animeType	TV
animeNumEpisode	12
releaseDate	2015-10-06 00:00:00
endDate	2015-12-22 00:00:00
animeNumMembers	
animeScore	6.9
animeUsers	14606
animeRank	
animePopularity	2756
animeDescription	"Yuuta Hoshitani enrolls in the prestigious Ayanagi Academy in hopes of finding the high school student who inspired him. The academy is well-known for producing exceptional musical talent, but students must first compete for acceptance into the Musical Department. At the top of the department is the Kao Council—a group of third-year students who possess a great deal of influence over the school and admission into the department. The fastest route to entering the department for Hoshitani is to find a way into a Star Team, which would allow him to be taught by a member of the Kao Council.

After catching the eyes of Itsuki Ootori, Hoshitani finds himself under the tutelage of the Kao Council's most eccentric member. Alongside him on Team Ootori is his roommate, Tooru Nayuki, fledgling Kabuki actor Kakeru Tengenji, the quiet Shuu Kuga, and Kaito Tsukigami, the younger brother of famous Ayanagi alumni Haruto.

As Hoshitani struggles with his lack of talent, his teammates must also overcome their shortcomings. Facing opposition from other talented Star Teams, including the other four members of the Kao Council, Team Ootori must carve their own path as they aim to perform in the Ayanagi Festival. 

[Written by MAL Rewrite]"
animeRelated	"['Starmyu', ""Starmyu: Stardust's Dream"", 'Starmyu OVA']"
animeCharacters	['Hoshitani, Yuuta', 'Tsukigami, Kaito', 'Kuga, Shuu', 'Nayuki, Tooru', 'Tengenji, Kakeru', 'Ootori, Itsuki', 'Tatsumi, Rui', 'Toraishi, Izumi', 'Hiiragi, Tsubasa', 'Yuzuriha, Lion Christian']
animeVoices	['Hanae, Natsuki', 'Lounsbery, Arthur', 'Maeno, Tomoaki', 'Ono, Kensho', 'Hosoya, Yoshimasa', 'Suwabe, Junichi', 'Okamoto, Nobuhiko', 'KENN', 'Hirakawa, Daisuke', 'Toriumi, Kousuke']
animeStaff	[['Tada, Shunsuke', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kaneko, Shingo', 'Episode Director, Storyboard'], ['Kyougoku, Yoshiaki', 'Storyboard']]
