animeTitle	Aria the Origination: Sono Choppiri Himitsu no Basho ni...
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.99
animeUsers	8596
animeRank	
animePopularity	4059
animeDescription	"Special episode based on manga Navigation 39 entitled ""The Secret Place"". Its action takes place between episodes 5 and 6 of Aria the Origination.

Akari and President Aria take a walk in the eastern part of Neo-Venezia. The are spotted by Akatsuki, who follows them to try to greet Akari. They eventually end up at St Mark's Basilica, where Akari has a secret place, which is discovered by Akatsuki, Aika, and Alice. 

(Source: Wikipedia)"
animeRelated	['Aria', 'Aria the Origination']
animeCharacters	['Mizunashi, Akari', 'Pokoteng, Aria', 'Carroll, Alice', 'Granzchesta, Aika S.', 'Izumo, Akatsuki', 'Ayanokouji the 51st, Udo']
animeVoices	['Hazuki, Erino', 'Nishimura, Chinami', 'Hirohashi, Ryou', 'Saitou, Chiwa', 'Nojima, Hirofumi', 'Ueda, Yuuji']
animeStaff	[['Makino, Yui', 'Theme Song Performance'], ['Arai, Akino', 'Theme Song Performance'], ['Kawai, Eri', 'Theme Song Lyrics'], ['Amano, Kozue', 'Original Creator']]
