animeTitle	b'Yakusoku (2011)'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'As the leaves turn scarlet, a mother cries in front of her recently deceased child. The body of the boy decays, leaving behind a shadow, which the woman quickly embarrasses and takes home. One day, she receives a visitor asking about a shadow of a child.'
animeRelated	[]
animeCharacters	[b'Narration']
animeVoices	[b'\nHirokawa, Mitsunori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKouno, Aki\n\nDirector\n\n']
