animeTitle	Aikatsu!: Nerawareta Mahou no Aikatsu! Card
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	1027
animeRank	
animePopularity	8456
animeDescription	"Short anime screened alongside Aikatsu Stars! Movie. The film and the short will mark the first time the franchise is screening a double feature.

(Source: ANN)"
animeRelated	['Aikatsu!', 'Aikatsu Stars! Movie']
animeCharacters	['Oozora, Akari', 'Hoshimiya, Ichigo', 'Kiriya, Aoi', 'Toudou, Yurika', 'Shibuki, Ran', 'Hikami, Sumire', 'Arisugawa, Otome', 'Kanzaki, Mizuki', 'Bepp, Johnny', 'Kurebayashi, Juri']
animeVoices	['Kurosawa, Tomoyo']
animeStaff	[['Kimura, Ryuuichi', 'Director'], ['Watanabe, Satomi', 'Character Design'], ['Yaguchi, Hiroko', 'Character Design'], ['Koyama, Kenji', 'Sound Effects']]
