animeTitle	Manga Nihon Keizai Nyuumon
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13989
animeDescription	Depiction of Japan's economy, based on Shoutarou Ishinomori's epynomous manga.
animeRelated	['Manga Nihon Keizai Nyuumon']
animeCharacters	['Matsumoto, Sawako', 'Funeoka', 'Tsuchida', 'Idate', 'Annemary', 'Migawa', 'Kendou', 'Toda', 'Tsugawa', 'Yuuki']
animeVoices	['Takamori, Yoshino', 'Ishimori, Takkou', 'Matsumoto, Yasunori', 'Kitajima, Junji', 'Sakuma, Rei', 'Yamaguchi, Ken', 'Hirose, Masashi', 'Sawaki, Ikuya', 'Ootsuka, Houchuu', 'Horiuchi, Kenyuu']
animeStaff	[['Asada, Yuuji', 'Episode Director, Storyboard'], ['Ozeki, Masayuki', 'Episode Director, Storyboard'], ['Kogure, Teruo', 'Episode Director, Storyboard, Animation Director, Key Animation'], ['Ooseki, Masayuki', 'Episode Director, Storyboard']]
