animeTitle	Tsurune: Kazemai Koukou Kyuudoubu - Yabai
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	8455
animeRank	
animePopularity	4093
animeDescription	Unaired episode pre-screened at the event and later included with the 5th Blu-ray/DVD release. 
animeRelated	['Tsurune: Kazemai Koukou Kyuudoubu']
animeCharacters	['Takehaya, Seiya', 'Takigawa, Masaki', 'Narumiya, Minato', 'Kisaragi, Nanao', 'Onogi, Kaito', 'Yamanouchi, Ryouhei', 'Fujiwara, Shuu', 'Sugawara, Senichi', 'Motomura, Hiroki', 'Shiragiku, Noa']
animeVoices	['Ichikawa, Aoi', 'Asanuma, Shintaro', 'Uemura, Yuuto', 'Yano, Shougo', 'Ishikawa, Kaito', 'Suzuki, Ryouta', 'Ono, Kensho', 'Kobayashi, Yuusuke', 'Terashima, Takuma', 'Nanase, Ayaka']
animeStaff	[['Yamamura, Takuya', 'Director'], ['Kitanohara, Noriyuki', 'Episode Director, Storyboard'], ['Yokote, Michiko', 'Script'], ['Luck Life', 'Theme Song Arrangement, Theme Song Performance']]
