animeTitle	GJ-bu@
animeType	Special
animeNumEpisode	1
releaseDate	2014-05-06 00:00:00
endDate	
animeNumMembers	34188
animeScore	7.24
animeUsers	18077
animeRank	2685
animePopularity	3072
animeDescription	"During the school's spring break, Kyouya ""Kyoro"" Shinomiya has once again been kidnapped. Upon release, he finds himself in the GJ Club room, together with his captors, the cute GJ club members. At first glance, Kyoro does not see anything out of the ordinary in the club room, but as he gazes out of the window, he realizes that they are no longer in Japan but in New York!

[Written by MAL Rewrite]"
animeRelated	['GJ-bu']
animeCharacters	['Bernstein, Kirara', 'Sumeragi, Shion', 'Amatsuka, Mao', 'Amatsuka, Megumi', 'Shinomiya, Kyouya', 'Kannazuki, Tamaki', 'Shinra, Banshou', 'Bernstein, Geraldine', 'Shinomiya, Kasumi', 'Amatsuka, Seira']
animeVoices	['Arakawa, Chika', 'Mimori, Suzuko', 'Uchida, Maaya', 'Miyamoto, Yume', 'Shimono, Hiro', 'Uesaka, Sumire', 'Tsunematsu, Ayumi', 'Aoi, Wakana', 'Kido, Ibuki', 'Morohoshi, Sumire']
animeStaff	[['Fujiwara, Yoshiyuki', 'Director, Episode Director, Storyboard'], ['Tsuchiya, Masaki', 'Sound Director'], ['Koyasu, Hideaki', 'Script, Series Composition'], ['Uchida, Maaya', 'Theme Song Performance']]
