animeTitle	b'Shounen Jack to Mahoutsukai'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.3
animeUsers	209
animeRank	
animePopularity	
animeDescription	"b""Jack is a boy who lives with his animal friends Barnaby Bear, Dinah Dog, Squeeker Mouse and Phineas Fox. He's challenged to a race with Allegra, who turns out to be a witch. She takes Jack to the queen witch, Auriana. She plans on turning all her slaves into evil harpies."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
