animeTitle	b'Battle Spirits: Saga Brave'
animeType	b'ONA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.84
animeUsers	274
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Battle Spirits: Brave', b'Battle Spirits: Kakumei no Galette']
animeCharacters	[b'Bashin, Dan', b'Shinomiya, Mai', b'The Moonlight, Barone', b'Zungurii', b'Hyoudo, Kenzo', b'Clackey, Ray', b'Suzuri, Hideto', b'The Darkness, Zazie']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Masaki\n\nDirector\n\n', b'\nTomioka, Atsuhiro\n\nScript\n\n', b'\nSadamatsu, Toshiyuki\n\nDirector of Photography\n\n']
