animeTitle	Drifters (OVA): Kokuou-sama Goranshin
animeType	Special
animeNumEpisode	1
releaseDate	2017-12-23 00:00:00
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	1472
animeRank	
animePopularity	6401
animeDescription	Final episode of Kokuou-sama Goranshin released with the new Drifters episodes 13-14 Blu-ray disc.
animeRelated	['Drifters', 'Drifters (OVA)', 'Drifters: Kokuou-sama Goranshin']
animeCharacters	['The Black King', 'dArc, Jeanne', 'Rasputin, Grigori']
animeVoices	['Kusunoki, Taiten', 'Minagawa, Junko', 'Tanaka, Masahiko']
animeStaff	[['Hirano, Kouta', 'Original Creator']]
