animeTitle	Teekyuu 7 Specials
animeType	Special
animeNumEpisode	2
releaseDate	2016-05-27 00:00:00
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	1133
animeRank	
animePopularity	8469
animeDescription	Unaired specials included in the Blu-ray and DVD release.
animeRelated	['Teekyuu 7']
animeCharacters	['Bandou, Marimo', 'Suzuki, Ayako']
animeVoices	[]
animeStaff	[['Itagaki, Shin', 'Director, Character Design'], ['Hanazawa, Kana', 'Theme Song Performance'], ['Mimori, Suzuko', 'Theme Song Performance'], ['Watanabe, Yui', 'Theme Song Performance']]
