animeTitle	Kodomo no Omocha
animeType	OVA
animeNumEpisode	1
releaseDate	1995-12-16 00:00:00
endDate	
animeNumMembers	5546
animeScore	7.13
animeUsers	2015
animeRank	3241
animePopularity	6708
animeDescription	"The Kodomo No Omocha OVA is a thirty-minute animation video that was made before the TV series. It covers the first volume of the manga, so it's equivalent to TV episodes 1-6. It relates Sana's troubles with Hayama at school as a result of the ""oyakodon baka"" situation and culminates when Hayama's dad and sister realize their mistakes thanks to Sana's efforts. 

(Source: AniDB)"
animeRelated	['Kodomo no Omocha', 'Kodomo no Omocha (TV)']
animeCharacters	['Kurata, Sana', 'Hayama, Akito', 'Sagami, Rei', 'Ohki, Tsuyoshi', 'Kurata, Misako', 'Hayama, Natsumi', 'Hamilton, Gary', 'Hamilton, Michelle', 'Kamayai, Hisae', 'Gomi, Shinichi']
animeVoices	['Yokoyama, Chisa', 'Ogata, Megumi', 'Takayama, Minami', 'Koujiro, Chie', 'Neya, Michiko', 'Nagasawa, Miki']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Iuchi, Shuji', 'Storyboard'], ['Yokoyama, Chisa', 'Theme Song Performance'], ['Obana, Miho', 'Theme Song Lyrics, Theme Song Composition, Original Creator']]
