animeTitle	b'Kine-Pass Gekijou'
animeType	b'Movie'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The T-Joy theater chain will also screen three ""Kine-Pass Gekijou"" (Kine-Pass Theater) commercials to promote its Kine-Pass ticket sales app using the chibified Chen-Kuro Gakuen characters.\n\n(Source: ANN)'"
animeRelated	[b'Chain Chronicle: Haecceitas no Hikari Part 1', b'Chain Chronicle: Haecceitas no Hikari Part 2', b'Chain Chronicle: Haecceitas no Hikari Part 3', b'Chen-Kuro Gakuen', b'Kuro-Nikuru Girls', b'Chein Kuro-Nikuru!!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
