animeTitle	b'Animegataris'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	25449
animeRank	
animePopularity	
animeDescription	"b""After dreaming about an anime she used to watch as a child, Minoa Asagaya could not forget a particularly memorable scene. However, despite her best efforts, she cannot recall the name of the show. Due to this, Minoa asks for help from her fellow classmates at Sakaneko High School. Her conversation is overheard by Arisu Kamiigusa, the most popular and wealthy girl in class who is also a hardcore otaku. Yet even with her vast knowledge, Arisu does not recognize the show.\n\nAfter discovering that there isn't an anime club at their school, Minoa and Arisu create the Anime Research Club, as they may obtain the answer to Minoa's mystery if they gather people who share the same interest. Thus, Minoa is exposed to a bizarre new world\xe2\x80\x94the world of anime!\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Animegatari', b'Animegataris: Yuku Toshi, Kuru Toshi']
animeCharacters	[b'Asagaya, Minoa', b'Kouenji, Miko', b'Musashisakai, Kai', b'Kamiigusa, Arisu', b'Aoyama, Erika', b'Obata, Yui', b'Nakano, Kouki', b'Yang, Bei Bei', b'Asagaya, Maaya', b'Neko-senpai']
animeVoices	[b'\nHondo, Kaede\nJapanese\n', b'\nToujou, Hisako\nJapanese\n', b'\nItou, Setsuo\nJapanese\n', b'\nSenbongi, Sayaka\nJapanese\n', b'\nInami, Anju\nJapanese\n', b'\nTakahashi, Rie\nJapanese\n', b'\nTerashima, Junta\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nMinase, Inori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorii, Kenshirou\n\nDirector\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nHoshino, Makoto\n\nEpisode Director, Storyboard\n\n', b'\nAiura, Kazuya\n\nEpisode Director\n\n']
