animeTitle	Koutetsushin Jeeg
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	2069
animeRank	
animePopularity	6594
animeDescription	"Kotetsushin Jeeg takes place fifty years after the original and features a new cast of characters—primarily the new main character Kenji Kusanagi, a high school student who becomes Kotetsushin Jeeg to fight the sudden reappearance of ""Haniwa Genjin"" (""Haniwa Phantom Gods"", or clay robots) from the Jamada Empire ruled by Queen Himika. Other characters include Tsubaki Tamashiro (grandaughter of Miwa Uzuki); and Kyou Misumi. Other main characters from the original series also appear."
animeRelated	['Koutetsu Jeeg']
animeCharacters	['Kusanagi, Kenji', 'Tamashiro, Tsubaki', 'Misumi, Kyo', 'Shiba, Hiroshi', 'Saotome, Monko', 'Yagyuu, Mitsuko', 'Queen Himika', 'Uzuki, Miwa', 'Mido, Tatsuko']
animeVoices	['Ono, Daisuke', 'Ueda, Kana', 'Chiba, Susumu', 'Suwabe, Junichi', 'Mori, Natsuki', 'Noda, Junko', 'Kimura, Akiko', 'Okamura, Akemi']
animeStaff	[['Kawagoe, Jun', 'Director, Episode Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Kawamura, Tomoyuki', 'Episode Director, Storyboard, Assistant Director'], ['Igarashi, Shishou', 'Episode Director']]
