animeTitle	Ikkyuu-san (1978)
animeType	TV
animeNumEpisode	26
releaseDate	1978-04-10 00:00:00
endDate	1978-10-23 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12834
animeDescription	"High-school student Ikkyuu knows nothing about baseball, but his talents are recognized by the manager of the baseball club, and he takes up this enchanting sport. While his ignorance of the game leads him to make many mistakes, Ikkyuu - who is in fact a descendant of ninja - displays his superhuman abilities and leads the team to the High School Baseball Championships.

(Source: Nippon Animation)"
animeRelated	[]
animeCharacters	['Ikkyuu, Sanada', 'Ashida, Reiko', 'Gomi, Rentarou', 'Ikkaku, Shirou', 'Iwakaze Kantoku', 'Chairman Sumiyoshi', 'Hotta, Miyoshi', 'Tsukasa, Kouji', 'Ootomo, Shun']
animeVoices	['Mizushima, Yuu', 'Kawashima, Chiyoko', 'Iizuka, Shouzou', 'Taki, Masaya', 'Nojima, Akio', 'Nagai, Ichiro', 'Furukawa, Toshio', 'Furuya, Toru', 'Sogabe, Kazuyuki']
animeStaff	[['Fukutomi, Hiroshi', 'Episode Director'], ['Nakanishi, Ryuuzou', 'Script'], ['Moriwaki, Makoto', 'Storyboard'], ['Takizawa, Toshifumi', 'Storyboard']]
