animeTitle	Minami-ke Omatase
animeType	OVA
animeNumEpisode	1
releaseDate	2012-10-05 00:00:00
endDate	
animeNumMembers	23137
animeScore	7.41
animeUsers	11348
animeRank	1921
animePopularity	3742
animeDescription	Minami-ke OVA bundled with the 10th volume of the manga.
animeRelated	['Minami-ke', 'Minami-ke Okaeri', 'Minami-ke Tadaima']
animeCharacters	['Minami, Kana', 'Minami, Chiaki', 'Minami, Haruka', 'Hosaka', 'Makoto', 'Minami, Touma', 'Uchida, Yuka', 'Fujioka', 'Hitomi', 'Minami, Natsuki']
animeVoices	['Inoue, Marina', 'Chihara, Minori', 'Satou, Rina', 'Ono, Daisuke', 'Morinaga, Rika', 'Mizuki, Nana', 'Kitamura, Eri', 'Kakihara, Tetsuya', 'Saitou, Ayaka', 'Yoshino, Hiroyuki']
animeStaff	[['Yamanaka, Takahiro', 'Producer'], ['Kawaguchi, Keiichirou', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Inoue, Marina', 'Theme Song Performance']]
